Ticker          Short Name
ORLY UW Equity  O'REILLY AUTOMOT
OXY UN Equity   OCCIDENTAL PETE
PAYX UW Equity  PAYCHEX INC
PBCT UW Equity  PEOPLE'S UNITED
PBI UN Equity   PITNEY BOWES INC
PCAR UW Equity  PACCAR INC
PCG UN Equity   PG&E CORP
PCL UN Equity   PLUM CREEK TIMBR
PCLN UW Equity  PRICELINE GROUP
PCP UN Equity   PRECISION CASTPT
PDCO UW Equity  PATTERSON COS
PEG UN Equity   PUB SERV ENTERP
PEP UN Equity   PEPSICO INC
PFE UN Equity   PFIZER INC
PFG UN Equity   PRINCIPAL FINL
PG UN Equity    PROCTER & GAMBLE
PGR UN Equity   PROGRESSIVE CORP
PH UN Equity    PARKER HANNIFIN
PHM UN Equity   PULTEGROUP INC
PKI UN Equity   PERKINELMER INC
PLD UN Equity   PROLOGIS INC
PLL UN Equity   PALL CORP
PM UN Equity    PHILIP MORRIS IN
PNC UN Equity   PNC FINANCIAL SE
PNR UN Equity   PENTAIR PLC
PNW UN Equity   PINNACLE WEST
POM UN Equity   PEPCO HOLDINGS
PPG UN Equity   PPG INDS INC
PPL UN Equity   PPL CORP
PRGO UN Equity  PERRIGO CO PLC
PRU UN Equity   PRUDENTL FINL
PSA UN Equity   PUBLIC STORAGE
PSX UN Equity   PHILLIPS 66
PVH UN Equity   PVH CORP
PWR UN Equity   QUANTA SERVICES
PX UN Equity    PRAXAIR INC
PXD UN Equity   PIONEER NATURAL
QCOM UW Equity  QUALCOMM INC
QEP UN Equity   QEP RESOURCES IN
R UN Equity     RYDER SYSTEM INC
RAI UN Equity   REYNOLDS AMERICA
RCL UN Equity   ROYAL CARIBBEAN
REGN UW Equity  REGENERON PHARM
RF UN Equity    REGIONS FINANCIA
RHI UN Equity   ROBERT HALF INTL
RHT UN Equity   RED HAT INC
RIG UN Equity   TRANSOCEAN LTD
RL UN Equity    RALPH LAUREN COR
ROK UN Equity   ROCKWELL AUTOMAT
ROP UN Equity   ROPER INDS
ROST UW Equity  ROSS STORES INC
RRC UN Equity   RANGE RESOURCES
RSG UN Equity   REPUBLIC SVCS
RTN UN Equity   RAYTHEON CO
SBUX UW Equity  STARBUCKS CORP
SCG UN Equity   SCANA CORP
SCHW UN Equity  SCHWAB (CHARLES)
SE UN Equity    SPECTRA ENERG
SEE UN Equity   SEALED AIR CORP
SHW UN Equity   SHERWIN-WILLIAMS
SIAL UW Equity  SIGMA-ALDRICH
SJM UN Equity   JM SMUCKER CO
SLB UN Equity   SCHLUMBERGER LTD
SLG UN Equity   SL GREEN REALTY
SNA UN Equity   SNAP-ON INC
SNDK UW Equity  SANDISK CORP
SNI UN Equity   SCRIPPS NET-CL A
SO UN Equity    SOUTHERN CO
SPG UN Equity   SIMON PROPERTY
SPLS UW Equity  STAPLES INC
SRCL UW Equity  STERICYCLE INC
SRE UN Equity   SEMPRA ENERGY
STI UN Equity   SUNTRUST BANKS
STJ UN Equity   ST JUDE MEDICAL
STT UN Equity   STATE ST CORP
STX UW Equity   SEAGATE TECHNOLO
STZ UN Equity   CONSTELLATION-A
SWK UN Equity   STANLEY BLACK &
SWKS UW Equity  SKYWORKS SOLUTIO
SWN UN Equity   SOUTHWESTRN ENGY
SYK UN Equity   STRYKER CORP
SYMC UW Equity  SYMANTEC CORP
SYY UN Equity   SYSCO CORP
T UN Equity     AT&T INC
TAP UN Equity   MOLSON COORS-B
TDC UN Equity   TERADATA CORP
TE UN Equity    TECO ENERGY INC
TEG UN Equity   INTEGRYS ENERGY
TEL UN Equity   TE CONNECTIVITY
TGT UN Equity   TARGET CORP
THC UN Equity   TENET HEALTHCARE
TIF UN Equity   TIFFANY & CO
TJX UN Equity   TJX COS INC
TMK UN Equity   TORCHMARK CORP
TMO UN Equity   THERMO FISHER
TRIP UW Equity  TRIPADVISOR INC
TROW UW Equity  T ROWE PRICE GRP
TRV UN Equity   TRAVELERS COS IN
TSCO UW Equity  TRACTOR SUPPLY
TSN UN Equity   TYSON FOODS-A
TSO UN Equity   TESORO CORP
TSS UN Equity   TOTAL SYS SERVS
TWC UN Equity   TIME WARNER CABL
TWX UN Equity   TIME WARNER INC
TXN UW Equity   TEXAS INSTRUMENT
TXT UN Equity   TEXTRON INC
TYC UN Equity   TYCO INTERNATION
UA UN Equity    UNDER ARMOUR-A
UHS UN Equity   UNIVERSAL HLTH-B
UNH UN Equity   UNITEDHEALTH GRP
UNM UN Equity   UNUM GROUP
UNP UN Equity   UNION PAC CORP
